feature_id,domain,old_ui,old_frontend_state,old_binding,old_backend,old_mcp_tool,old_docs,old_tests,new_rust_api,new_qt_viewmodel,new_qml_entry,new_tests,status,owner,acceptance,notes
settings.serial_defaults,settings,frontend/src/settings/views/serial,frontend/src/settings/stores/settingsStore.ts defaultSerialSettings,frontend/bindings/.../serial/service.ts ListSystemFonts,internal/modules/serial/fonts.go,,docs/getting-started.md,frontend/src/settings/stores/settingsStore.test.ts; frontend/src/settings/views/serial/SerialSettingsPanel.test.ts,portweave_settings::serial_defaults,SerialSettingsViewModel,qml/settings/SerialSettingsPanel.qml,settings_serial_defaults_test,inventory,qml-feature-agent,Serial default settings and font list roundtrip into workspace snapshots,
runtime.metrics,runtime,frontend/src/core/runtimeMetrics.ts,,frontend/bindings/.../runtime/service.ts Snapshot,internal/core/runtime/service.go,,docs/architecture.md,internal/core/runtime/service_test.go,portweave_runtime::snapshot,RuntimeMetricsViewModel,qml/shell/StatusBar.qml,runtime_metrics_test,inventory,rust-workspace-agent,Runtime metrics render without crashing and handle unsupported platform fields,
serial.enumerate,serial,frontend/src/serial,frontend/src/serial/stores/serialStore.ts refreshPorts,frontend/bindings/.../serial/service.ts EnumeratePorts,internal/modules/serial/service.go,serial_enumerate_ports,docs/mcp-api.md; docs/development/windows-serial-testing.md,internal/modules/serial/service_test.go; internal/modules/mcpserver/server_test.go,portweave_serial::list_ports,SerialPortListModel::refresh,qml/serial/SerialPortPanel.qml,serial_list_ports_test; qml_smoke_serial_refresh,contracted,rust-serial-agent,No-device and available-device enumerate cases match old behavior,
serial.open_close,serial,frontend/src/serial,frontend/src/serial/stores/serialStore.ts open/close path,frontend/bindings/.../serial/service.ts OpenPort; ClosePort; ListPorts,internal/modules/serial/service.go,serial_open_port; serial_close_port; serial_list_open_ports,docs/mcp-api.md; docs/development/windows-serial-testing.md,internal/modules/serial/service_test.go; tests/go/integration/serial_e2e_test.go,portweave_serial::open_port; portweave_serial::close_port,SerialPortViewModel::openPort; closePort,qml/serial/SerialPortPanel.qml,serial_open_close_test; qml_smoke_serial_open_close,contracted,rust-serial-agent,Open close repeat and busy/missing/permission errors are classified and visible,
serial.send_bytes,serial,frontend/src/serial,frontend/src/serial/stores/serialStore.ts,frontend/bindings/.../serial/service.ts Send; EncodeTextToHex; DecodeHexToText,internal/modules/serial/service.go,serial_send,docs/mcp-api.md,internal/modules/serial/service_test.go; internal/modules/mcpserver/server_test.go,portweave_serial::send_bytes,SerialPortViewModel::send,qml/serial/SerialTerminalPanel.qml,serial_send_bytes_test,inventory,rust-serial-agent,ASCII and hex send paths preserve byte content and counters,
serial.buffer_query_clear,serial,frontend/src/serial,frontend/src/serial/stores/monitorStore.ts,frontend/bindings/.../serial/service.ts QueryPage; ResetCounters; RestoreCounters,internal/modules/serial/service.go,serial_query_buffer; serial_reset_counters,docs/mcp-api.md,internal/modules/serial/service_test.go,portweave_serial::query_buffer; reset_counters,SerialBufferModel,qml/serial/SerialTerminalPanel.qml,serial_buffer_test,inventory,rust-serial-agent,Buffer paging counters and reset behavior match old service,
serial.monitor_frames,serial,frontend/src/serial,frontend/src/serial/stores/monitorStore.ts,frontend/bindings/.../serial/service.ts StartMonitor; StartAutoVirtualMonitor; StopMonitor; DeleteMonitor; ListMonitors; QueryMonitorFrames; ClearMonitorFrames,internal/modules/serial/service.go,serial_start_monitor; serial_stop_monitor; serial_delete_monitor; serial_list_monitors; serial_query_monitor_frames; serial_clear_monitor_frames,docs/mcp-api.md,internal/modules/serial/service_test.go; internal/modules/mcpserver/server_test.go,portweave_serial::monitor,SerialMonitorViewModel; MonitorFrameModel,qml/serial/MonitorPanel.qml,serial_monitor_test,inventory,rust-serial-agent,Monitor lifecycle auto-virtual monitor list frame filtering and clear behavior match old behavior,
serial.virtual_backend_status,virtual,,frontend/src/serial/stores/virtualStore.ts,frontend/bindings/.../serial/service.ts GetVirtualSerialBackendStatus,internal/modules/serial/service.go,,docs/serial-cross-platform-inventory.md,frontend/src/serial/stores/virtualStore.test.ts,portweave_virtual::backend_status,VirtualSerialViewModel backendStatus,qml/serial/VirtualPairPanel.qml,virtual_backend_status_test,contracted,rust-serial-agent,Backend availability and unsupported messages are visible before create actions,
serial.virtual_pair,virtual,frontend/src/serial/views/VirtualPairPanel.vue,frontend/src/serial/stores/virtualStore.ts,frontend/bindings/.../serial/service.ts CreateVirtualPair; DeleteVirtualPair; ListVirtualPairs,internal/modules/serial/service.go,serial_create_virtual_pair; serial_delete_virtual_pair; serial_list_virtual_pairs,docs/mcp-api.md; docs/development/windows-serial-testing.md,frontend/src/serial/stores/virtualStore.test.ts; tests/go/integration/virtual_serial_test.go,portweave_virtual::create_pair; delete_pair; list_pairs,VirtualPairListModel,qml/serial/VirtualPairPanel.qml,virtual_pair_loopback_test; qml_smoke_virtual_pair,contracted,rust-serial-agent,No-hardware virtual pair loopback works and cleanup removes resources,
serial.virtual_port,virtual,frontend/src/serial/views/VirtualPairPanel.vue,frontend/src/serial/stores/virtualStore.ts,frontend/bindings/.../serial/service.ts CreateVirtualPort; DeleteVirtualPort; ListVirtualPorts,internal/modules/serial/service.go,serial_create_virtual_port; serial_delete_virtual_port; serial_list_virtual_ports,docs/mcp-api.md,frontend/src/serial/stores/virtualStore.test.ts,portweave_virtual::create_port; delete_port; list_ports,VirtualPortListModel,qml/serial/VirtualPortPanel.qml,virtual_port_test,inventory,rust-serial-agent,Virtual port create list delete and unsupported cases match old behavior,
serial.bridge,virtual,frontend/src/serial/views/VirtualPairPanel.vue,frontend/src/serial/stores/virtualStore.ts,frontend/bindings/.../serial/service.ts CreateBridge; DeleteBridge; ListBridges,internal/modules/serial/service.go,serial_create_bridge; serial_delete_bridge; serial_list_bridges,docs/mcp-api.md,frontend/src/serial/stores/virtualStore.test.ts,portweave_virtual::create_bridge; delete_bridge; list_bridges,SerialBridgeListModel,qml/serial/BridgePanel.qml,serial_bridge_test,inventory,rust-serial-agent,Bridge forwards bytes both directions and cleans up,
serial.cleanup_virtual,virtual,frontend/src/serial/views/VirtualPairPanel.vue,frontend/src/serial/stores/virtualStore.ts,frontend/bindings/.../serial/service.ts CleanupVirtual,internal/modules/serial/service.go,serial_cleanup_virtual,docs/mcp-api.md,frontend/src/serial/stores/virtualStore.test.ts,portweave_virtual::cleanup,VirtualSerialViewModel::cleanup,qml/serial/VirtualPairPanel.qml,virtual_cleanup_test,inventory,rust-serial-agent,Cleanup deletes virtual resources and clears state,
graph.document,graph,frontend/src/serial/views/SerialGraphPanel.vue,frontend/src/serial/stores/graphStore.ts; frontend/src/serial/graph/serialGraph.ts,,internal/modules/serial/graph_runtime.go,,docs/workspace-graph-schema.md; docs/serial-graph-node-catalog.md,frontend/src/serial/stores/graphStore.test.ts; frontend/src/serial/graph/serialGraph.test.ts,portweave_graph::document,GraphDocumentViewModel,qml/graph/GraphEditor.qml,graph_document_roundtrip_test,contracted,rust-protocol-agent,Old graph documents load save and preserve node edge metadata,
graph.demo_catalog,graph,frontend/src/settings/views/global/GlobalSettingsPanel.vue,frontend/src/workspace/demoWorkspaces.ts,,internal/modules/mcpserver/server.go,serial_graph_demo_catalog; serial_graph_demo_template,docs/examples.md; docs/mcp-api.md,frontend/src/workspace/demoWorkspaces.test.ts; internal/modules/mcpserver/server_test.go,portweave_graph::demo_catalog,DemoGraphListModel,qml/settings/GlobalSettingsPanel.qml,graph_demo_catalog_test,contracted,rust-protocol-agent,No-hardware demo template loads validates and starts,
graph.node_catalog,graph,frontend/src/serial/graph/serialGraph.ts,frontend/src/serial/graph/serialGraph.ts,,internal/modules/mcpserver/server.go,serial_graph_provider_catalog,docs/serial-graph-node-catalog.md,frontend/src/serial/graph/serialGraph.test.ts; internal/modules/mcpserver/server_test.go,portweave_graph::provider_catalog,GraphProviderCatalogModel,qml/graph/NodePalette.qml,graph_provider_catalog_test,inventory,rust-protocol-agent,Node catalog matches documented provider IDs ports and validation rules,
graph.edit_nodes_edges,graph,frontend/src/serial/views/SerialGraphPanel.vue,frontend/src/serial/stores/graphStore.ts,,,,docs/serial-graph-node-catalog.md,frontend/src/serial/views/SerialGraphPanel.test.ts,portweave_graph::edit_document,GraphEditorViewModel,qml/graph/GraphEditor.qml,qml_smoke_graph_edit,inventory,qml-feature-agent,Create select edit connect and delete nodes/edges without corrupting document,
graph.layout_tabs,graph,frontend/src/serial/views/SerialView.vue,frontend/src/serial/stores/workspaceStore.ts,,,,docs/workspace-graph-schema.md,frontend/src/serial/views/SerialView.test.ts,portweave_workspace::editor_layout,EditorLayoutViewModel,qml/shell/EditorGroups.qml,qml_smoke_editor_layout,inventory,qml-shell-agent,Tab split drag close restore behavior matches old workspace semantics,
graph.validate,graph,,frontend/src/serial/stores/graphStore.ts,frontend/bindings/.../serial/service.ts StartSerialGraph currently validates,internal/modules/serial/graph_runtime.go,serial_graph_validate,docs/serial-graph-runtime-flow.md; docs/mcp-api.md,internal/modules/serial/graph_runtime_test.go; internal/modules/mcpserver/server_test.go,portweave_graph::validate,GraphRuntimeViewModel::validate,qml/graph/ValidationPanel.qml,graph_validate_test,contracted,rust-protocol-agent,Valid and invalid graphs produce old-compatible errors and diagnostics,
graph.runtime_start_stop,graph,frontend/src/serial/views/SerialGraphPanel.vue,frontend/src/serial/stores/graphStore.ts,frontend/bindings/.../serial/service.ts StartSerialGraph; StopSerialGraph; ListSerialGraphs,internal/modules/serial/graph_runtime.go,serial_graph_start; serial_graph_stop,docs/serial-graph-runtime-flow.md; docs/mcp-api.md,internal/modules/serial/graph_runtime_test.go; internal/modules/mcpserver/server_test.go,portweave_graph::start_runtime; stop_runtime,GraphRuntimeViewModel::start; stop,qml/graph/RuntimeToolbar.qml,graph_runtime_start_stop_test; qml_smoke_graph_start_stop,contracted,rust-protocol-agent,No-hardware demo starts stops and cleanup releases resources,
graph.runtime_status,graph,,frontend/src/serial/stores/graphStore.ts,frontend/bindings/.../serial/service.ts GetSerialGraphStatus; ListSerialGraphs,internal/modules/serial/graph_runtime.go,serial_graph_status,docs/serial-graph-runtime-flow.md; docs/mcp-api.md,internal/modules/serial/graph_runtime_test.go,portweave_graph::runtime_status,GraphRuntimeStatusModel,qml/graph/RuntimeStatusPanel.qml,graph_runtime_status_test,contracted,rust-protocol-agent,Runtime node statuses counters and errors are visible and old-compatible,
graph.runtime_send,graph,frontend/src/serial/views/SerialGraphPanel.vue,frontend/src/serial/stores/graphStore.ts,frontend/bindings/.../serial/service.ts SendSerialGraphNode,internal/modules/serial/graph_runtime.go,serial_graph_send,docs/serial-graph-runtime-flow.md; docs/mcp-api.md,internal/modules/serial/graph_runtime_test.go,portweave_graph::send_node,GraphRuntimeViewModel::sendNode,qml/graph/NodeInspector.qml,graph_runtime_send_test,inventory,rust-protocol-agent,ASCII hex and generated protocol payloads route through graph as before,
graph.runtime_query_buffers,graph,,frontend/src/serial/stores/graphStore.ts,frontend/bindings/.../serial/service.ts QuerySerialGraphNodeBuffer; ClearSerialGraphNodeBuffer; ResetSerialGraphNodeCounters,internal/modules/serial/graph_runtime.go,serial_graph_query_node_buffer; serial_graph_clear_node_buffer; serial_graph_reset_node_counters,docs/serial-graph-runtime-flow.md; docs/mcp-api.md,internal/modules/serial/graph_runtime_test.go; internal/modules/mcpserver/server_test.go,portweave_graph::query_node_buffer; clear_node_buffer; reset_node_counters,GraphNodeBufferModel,qml/graph/NodeBufferPanel.qml,graph_runtime_buffer_test,contracted,rust-protocol-agent,No-hardware demo buffer query clear and counter reset match old behavior,
graph.runtime_query_frames,graph,,frontend/src/serial/stores/graphStore.ts,frontend/bindings/.../serial/service.ts QuerySerialGraphNodeFrames,internal/modules/serial/graph_runtime.go,serial_graph_query_node_frames,docs/serial-graph-runtime-flow.md; docs/mcp-api.md,internal/modules/serial/graph_runtime_test.go,portweave_graph::query_node_frames,GraphNodeFrameModel,qml/graph/NodeFramePanel.qml,graph_runtime_frames_test,inventory,rust-protocol-agent,Monitor and protocol frame paging match old behavior,
graph.script_node,graph,frontend/src/serial/views/ScriptEditor.vue,frontend/src/serial/graph/serialGraph.ts,,internal/modules/serial/graph_runtime.go,,docs/protocol-script-templates.md; docs/serial-graph-node-catalog.md,frontend/src/serial/views/SerialGraphPanel.test.ts; internal/modules/serial/graph_runtime_test.go,portweave_graph::script_node,ScriptNodeViewModel,qml/graph/ScriptEditor.qml,graph_script_node_test,inventory,rust-protocol-agent,Script transform generator analyzer behavior and errors match old behavior,
graph.remote_node,graph,frontend/src/serial/graph/serialGraph.ts,,,internal/modules/serial/graph_runtime.go,,docs/remote-serial-node.md; docs/serial-graph-node-catalog.md,internal/modules/serial/graph_runtime_test.go,portweave_graph::remote_node,RemoteNodeViewModel,qml/graph/RemoteNodePanel.qml,graph_remote_node_test,inventory,rust-protocol-agent,Raw TCP client/server reconnect and safety behavior match docs,
modbus.session,protocol,frontend/src/serial,frontend/src/serial/stores/modbusStore.ts,frontend/bindings/.../serial/service.ts OpenModbusSession; CloseModbusSession; ListModbusSessions,internal/modules/serial/modbus,modbus_open_session; modbus_close_session; modbus_list_sessions,docs/mcp-api.md,internal/modules/serial/modbus/*; internal/modules/mcpserver/server_test.go,portweave_modbus::session,ModbusSessionViewModel,qml/protocol/ModbusPanel.qml,modbus_session_test,inventory,rust-protocol-agent,Session lifecycle role mode timeout retries and port conflicts match old behavior,
modbus.master_request,protocol,frontend/src/serial,frontend/src/serial/stores/modbusStore.ts,frontend/bindings/.../serial/service.ts ModbusMasterRequest,internal/modules/serial/modbus,modbus_master_request,docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_modbus::master_request,ModbusMasterViewModel,qml/protocol/ModbusMasterPanel.qml,modbus_master_request_test,inventory,rust-protocol-agent,Master request transaction shape and errors match old behavior,
modbus.read_registers,protocol,frontend/src/serial,frontend/src/serial/stores/modbusStore.ts,frontend/bindings/.../serial/service.ts ModbusReadRegisters,internal/modules/serial/modbus,modbus_read_registers,docs/mcp-api.md,frontend/src/serial/stores/modbusStore.test.ts; internal/modules/mcpserver/server_test.go,portweave_modbus::read_registers,ModbusRegisterViewModel,qml/protocol/ModbusRegistersPanel.qml,modbus_read_registers_test,inventory,rust-protocol-agent,Decoded mappings and raw register output match old behavior,
modbus.scan,protocol,frontend/src/serial,frontend/src/serial/stores/modbusStore.ts,frontend/bindings/.../serial/service.ts ModbusScanUnitIDs; ModbusScanRegisters,internal/modules/serial/modbus,modbus_scan_unit_ids; modbus_scan_registers,docs/mcp-api.md,frontend/src/serial/stores/modbusStore.test.ts; internal/modules/mcpserver/server_test.go,portweave_modbus::scan_unit_ids; scan_registers,ModbusScanViewModel,qml/protocol/ModbusScanPanel.qml,modbus_scan_test,inventory,rust-protocol-agent,Scan chunking range and non-zero result behavior match old behavior,
modbus.slave,protocol,frontend/src/serial,frontend/src/serial/stores/modbusStore.ts,frontend/bindings/.../serial/service.ts StartModbusSlave; StopModbusSlave; UpdateModbusSlaveData; AddModbusSlaveUnit; RemoveModbusSlaveUnit; ListModbusSlaveUnits; UpdateModbusSlaveUnitData,internal/modules/serial/modbus,modbus_start_slave; modbus_stop_slave; modbus_update_slave_data; modbus_add_slave_unit; modbus_remove_slave_unit; modbus_list_slave_units; modbus_update_slave_unit_data,docs/mcp-api.md,frontend/src/serial/stores/modbusStore.test.ts; internal/modules/mcpserver/server_test.go,portweave_modbus::slave,ModbusSlaveViewModel,qml/protocol/ModbusSlavePanel.qml,modbus_slave_test,inventory,rust-protocol-agent,Slave data model unit management and update behavior match old behavior,
fecbus.function_catalog,protocol,frontend/src/serial,frontend/src/serial/stores/fecbusStore.ts,,internal/modules/serial/fecbus,fecbus_function_catalog,docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_fecbus::function_catalog,FecbusFunctionCatalogModel,qml/protocol/FecbusPanel.qml,fecbus_function_catalog_test,inventory,rust-protocol-agent,Function catalog matches old MCP output,
fecbus.session,protocol,frontend/src/serial,frontend/src/serial/stores/fecbusStore.ts,frontend/bindings/.../serial/service.ts OpenFecbusSession; CloseFecbusSession; ListFecbusSessions,internal/modules/serial/fecbus,fecbus_open_session; fecbus_close_session; fecbus_list_sessions,docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_fecbus::session,FecbusSessionViewModel,qml/protocol/FecbusPanel.qml,fecbus_session_test,inventory,rust-protocol-agent,FECbus session lifecycle and port conflicts match old behavior,
fecbus.send_request,protocol,frontend/src/serial,frontend/src/serial/stores/fecbusStore.ts,frontend/bindings/.../serial/service.ts FecbusSendRequest,internal/modules/serial/fecbus,fecbus_send_request,docs/mcp-api.md,frontend/src/serial/stores/fecbusStore.test.ts; internal/modules/mcpserver/server_test.go,portweave_fecbus::send_request,FecbusRequestViewModel,qml/protocol/FecbusRequestPanel.qml,fecbus_send_request_test,inventory,rust-protocol-agent,Frame fields transaction history and errors match old behavior,
fecbus.slave,protocol,frontend/src/serial,frontend/src/serial/stores/fecbusStore.ts,frontend/bindings/.../serial/service.ts StartFecbusSlave; StopFecbusSlave; UpdateFecbusSlaveState; AddFecbusSlaveUnit; RemoveFecbusSlaveUnit; ListFecbusSlaveUnits,internal/modules/serial/fecbus,fecbus_start_slave; fecbus_stop_slave; fecbus_update_slave_state; fecbus_add_slave_unit; fecbus_remove_slave_unit; fecbus_list_slave_units,docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_fecbus::slave,FecbusSlaveViewModel,qml/protocol/FecbusSlavePanel.qml,fecbus_slave_test,inventory,rust-protocol-agent,FECbus slave unit management status answer and state updates match old behavior,
fecbus.frames,protocol,frontend/src/serial,frontend/src/serial/stores/fecbusStore.ts,frontend/bindings/.../serial/service.ts QueryFecbusFrames; ClearFecbusFrames,internal/modules/serial/fecbus,fecbus_query_frames; fecbus_clear_frames,docs/mcp-api.md,frontend/src/serial/stores/fecbusStore.test.ts; internal/modules/mcpserver/server_test.go,portweave_fecbus::query_frames; clear_frames,FecbusFrameModel,qml/protocol/FecbusFramesPanel.qml,fecbus_frames_test,inventory,rust-protocol-agent,Frame paging filtering custom decode and clear behavior match old behavior,
protocol.template_catalog,protocol,,frontend/src/serial,,internal/modules/serial/protocol/templates,protocol_template_catalog; protocol_template_describe,docs/protocol-script-templates.md; docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_protocol::template_catalog,ProtocolTemplateCatalogModel,qml/protocol/TemplatePicker.qml,protocol_template_catalog_test,inventory,rust-protocol-agent,Template catalog and describe output match old MCP shape,
mcp.server_start,mcp,,frontend/src/core/mcpStatus.ts,,internal/modules/mcpserver/module.go,,docs/mcp-api.md,frontend/src/core/mcpStatus.test.ts; internal/modules/mcpserver/server_test.go,portweave_mcp::server,McpStatusViewModel,qml/settings/McpStatusPanel.qml,mcp_server_status_test,inventory,rust-protocol-agent,Local MCP endpoint status and lifecycle match old config,
mcp.serial_tools,mcp,,,,internal/modules/mcpserver/server.go,serial_* tools,docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_mcp::serial_tools,McpStatusViewModel,qml/settings/McpStatusPanel.qml,mcp_serial_tools_test,inventory,rust-serial-agent,Serial MCP tools match old tool names schemas safety annotations and result shapes,
mcp.graph_tools,mcp,,,,internal/modules/mcpserver/server.go,serial_graph_* tools,docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_mcp::graph_tools,McpStatusViewModel,qml/settings/McpStatusPanel.qml,mcp_graph_tools_test,inventory,rust-protocol-agent,Graph MCP recipes validate start query stop and cleanup match old behavior,
mcp.modbus_tools,mcp,,,,internal/modules/mcpserver/server.go,modbus_* tools,docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_mcp::modbus_tools,McpStatusViewModel,qml/settings/McpStatusPanel.qml,mcp_modbus_tools_test,inventory,rust-protocol-agent,Modbus MCP schemas and structured results match old behavior,
mcp.fecbus_tools,mcp,,,,internal/modules/mcpserver/server.go,fecbus_* tools,docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_mcp::fecbus_tools,McpStatusViewModel,qml/settings/McpStatusPanel.qml,mcp_fecbus_tools_test,inventory,rust-protocol-agent,FECbus MCP schemas and structured results match old behavior,
mcp.protocol_template_tools,mcp,,,,internal/modules/mcpserver/server.go,protocol_template_* tools,docs/mcp-api.md,internal/modules/mcpserver/server_test.go,portweave_mcp::protocol_template_tools,McpStatusViewModel,qml/settings/McpStatusPanel.qml,mcp_protocol_template_tools_test,inventory,rust-protocol-agent,Protocol template MCP tools match old output,
release.windows_package,release,,,,build/windows; current Wails packaging,,docs/development/release.md,,portweave_release::windows_package,ReleaseBuildConfig,,windows_package_smoke,inventory,release-agent,Windows package contains Qt runtime app binary checksums and smoke evidence,
